22:38:18.07,->,ID,,DLC,,,DATA,,,,
22:38:26.72,->,550,8,10,0,0,0,0,0,0,50
22:38:26.76,->,450,8,0,0,0,0,0,0,B,0
22:38:26.78,->,540,8,2,0,0,1,11,0,1,D6
22:38:26.82,->,540,8,6,0,0,0,0,0,0,0
22:38:26.82,->,550,8,10,0,0,0,0,0,0,90
22:38:26.85,->,450,8,0,0,0,0,0,0,B,0
22:38:26.88,->,541,8,2,0,0,0,0,0,FF,FF
22:38:26.92,->,540,8,6,0,0,0,0,0,0,0
22:38:26.95,->,550,8,10,0,0,0,0,0,0,D0
22:38:26.95,->,450,8,0,0,0,0,0,0,B,0
22:38:26.98,->,540,8,4,0,0,0,0,0,0,0
22:38:27.02,->,540,8,6,0,0,0,0,0,0,0
22:38:27.05,->,550,8,10,0,0,0,0,0,0,50
22:38:27.05,->,450,8,0,0,0,0,0,0,B,0
22:38:27.08,->,540,8,4,0,0,0,0,0,0,0
22:38:27.12,->,540,8,6,0,0,0,0,0,0,0
22:38:27.15,->,550,8,10,0,0,0,0,0,0,90
22:38:27.15,->,450,8,0,0,0,0,0,0,B,0
22:38:27.19,->,540,8,4,0,0,0,0,0,0,0
22:38:27.22,->,540,8,6,0,0,0,0,0,0,0
22:38:27.25,->,550,8,10,0,0,0,0,0,0,D0
22:38:27.28,->,450,8,0,0,0,0,0,0,B,0
22:38:27.28,->,540,8,4,0,0,0,0,0,0,0
22:38:27.33,->,540,8,6,0,0,0,0,0,0,0
22:38:27.35,->,550,8,10,0,0,0,0,0,0,50
22:38:27.39,->,450,8,0,0,0,0,0,0,B,0
22:38:27.39,->,540,8,6,0,0,0,0,0,0,0
22:38:27.42,->,450,8,0,0,0,0,0,0,B,0
22:38:27.45,->,550,8,10,0,0,0,0,0,0,90
22:38:27.49,->,450,8,0,0,0,0,0,0,B,0
22:38:27.49,->,540,8,6,0,0,0,0,0,0,0
22:38:27.52,->,550,8,10,0,0,0,0,0,0,D0
22:38:27.55,->,450,8,0,0,0,0,0,0,B,0
22:38:27.59,->,540,8,2,0,0,1,11,0,1,D6
22:38:27.59,->,540,8,6,0,0,0,0,0,0,0
22:38:27.62,->,550,8,10,0,0,0,0,0,0,50
22:38:27.65,->,450,8,0,0,0,0,0,0,B,0
22:38:27.68,->,540,8,2,0,0,1,11,0,1,D6
22:38:27.72,->,540,8,6,0,0,0,0,0,0,0
22:38:27.72,->,550,8,10,0,0,0,0,0,0,90
22:38:27.75,->,450,8,0,0,0,0,0,0,B,0
22:38:27.78,->,541,8,2,0,0,0,0,0,FF,FF
22:38:27.82,->,540,8,6,0,0,0,0,0,0,0
22:38:27.82,->,550,8,10,0,0,0,0,0,0,D0
22:38:27.85,->,450,8,0,0,0,0,0,0,B,0
22:38:27.88,->,540,8,4,0,0,0,0,0,0,0
22:38:27.92,->,540,8,6,0,0,0,0,0,0,0
22:38:27.95,->,550,8,10,0,0,0,0,0,0,50
22:38:27.95,->,450,8,0,0,0,0,0,0,B,0
22:38:27.98,->,540,8,4,0,0,0,0,0,0,0
22:38:28.02,->,540,8,6,0,0,0,0,0,0,0
22:38:28.05,->,550,8,10,0,0,0,0,0,0,90
22:38:28.08,->,450,8,0,0,0,0,0,0,B,0
22:38:28.08,->,540,8,4,0,0,0,0,0,0,0
22:38:28.12,->,540,8,6,0,0,0,0,0,0,0
22:38:28.15,->,550,8,10,0,0,0,0,0,0,D0
