22:24:21.95,->,ID,,DLC,,,DATA,,,,,
22:24:29.76,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.79,->,450,8,0,0,0,0,0,0,B,0,
22:24:29.82,->,550,8,10,0,0,0,0,0,0,D0,
22:24:29.82,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.86,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.89,->,450,8,0,0,0,0,0,0,B,0,
22:24:29.92,->,550,8,10,0,0,0,0,0,0,50,
22:24:29.95,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.95,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.99,->,550,8,10,0,0,0,0,0,0,90,
22:24:30.02,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.05,->,550,8,10,0,0,0,0,0,0,B0,
22:24:30.05,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.09,->,550,8,10,0,0,0,0,0,0,D0,
22:24:30.12,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.15,->,550,8,10,0,0,0,0,0,0,30,
22:24:30.19,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.19,->,550,8,10,0,0,0,0,0,0,50,
22:24:30.22,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.25,->,550,8,10,0,0,0,0,0,0,70,
22:24:30.29,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.29,->,550,8,10,0,0,0,0,0,0,90,
22:24:30.32,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.35,->,550,8,10,0,0,0,0,0,0,B0,
22:24:30.39,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.42,->,550,8,10,0,0,0,0,0,0,D0,
22:24:30.42,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.45,->,550,8,10,0,0,0,0,0,0,30,
22:24:30.49,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.52,->,550,8,10,0,0,0,0,0,0,50,
22:24:30.55,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.55,->,550,8,10,0,0,0,0,0,0,70,
22:24:30.59,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.62,->,550,8,10,0,0,0,0,0,0,90,
22:24:30.65,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.65,->,550,8,10,0,0,0,0,0,0,B0,
22:24:30.69,->,550,8,10,0,0,0,0,0,0,D0,
22:24:30.72,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.75,->,550,8,10,0,0,0,0,0,0,30,
22:24:30.79,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.79,->,550,8,10,0,0,0,0,0,0,50,
22:24:30.82,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.85,->,550,8,10,0,0,0,0,0,0,70,
22:24:30.88,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.92,->,550,8,10,0,0,0,0,0,0,90,
22:24:30.92,->,450,8,0,0,0,0,0,0,B,0,
22:24:30.95,->,550,8,10,0,0,0,0,0,0,B0,
22:24:30.98,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.02,->,550,8,10,0,0,0,0,0,0,D0,
22:24:31.05,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.05,->,550,8,10,0,0,0,0,0,0,30,
22:24:31.08,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.12,->,550,8,10,0,0,0,0,0,0,50,
22:24:31.15,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.15,->,550,8,10,0,0,0,0,0,0,70,
22:24:31.18,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.22,->,550,8,10,0,0,0,0,0,0,90,
22:24:31.25,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.25,->,550,8,10,0,0,0,0,0,0,B0,
22:24:31.28,->,550,8,10,0,0,0,0,0,0,D0,
22:24:31.32,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.35,->,550,8,10,0,0,0,0,0,0,30,
22:24:31.38,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.38,->,550,8,10,0,0,0,0,0,0,50,
22:24:31.42,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.45,->,550,8,10,0,0,0,0,0,0,70,
22:24:31.48,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.52,->,550,8,10,0,0,0,0,0,0,90,
22:24:31.52,->,450,8,0,0,0,0,0,0,B,0,
